CaseID	tm_start	tm_finish	duration	Weight	QFLAG_ChicagoR	xphispan	Orlando	zip	USR	msc	cbsamet	DOV_Q2_2	DOV_Q2_4	Q2_2	Q2_4	Q3_1	Q3	DOV_TRACKAB	DOV_Q5_1	DOV_Q5_4	DOV_Q5_5	DOV_Q5_6a	DOV_Q5_8a	DOV_Q5_8b	DOV_Q5_10	DOV_Q5_21	DOV_Q5_23	DOV_Q5_24	DOV_Q5_27	DOV_Q5_28	DOV_Q5_29	Q5_1	Q5_4	Q5_5	Q5_6a	Q5_8a	Q5_8b	Q5_10	Q5_21	Q5_23	Q5_24	Q5_27	Q5_28	Q5_29	DOV_Immigration	DOV_Woman	DOV_Q7_3	DOV_Q7_4a	DOV_Q7_4b	DOV_Q7_5	DOV_Q7_8a	DOV_Q7_8b	DOV_Q7_9a	DOV_Q7_9b	DOV_Q7_10	DOV_Q7_12	DOV_Q7_19	DOV_Q7_23	DOV_Q7_11b	DOV_Q7_7b	DOV_Q7_30a	DOV_Q7_30b	Q7_3	Q7_4a	Q7_4b	Q7_5	Q7_8a	Q7_8b	Q7_9a	Q7_9b	Q7_10	Q7_12	Q7_19	Q7_23	Q7_11b	Q7_7b	Q7_30a	Q7_30b	DOV_Q8_1	DOV_Q8_2	DOV_Q8_3	DOV_Q8_4	DOV_Q8_5	DOV_Q8_6	DOV_Q8_13	DOV_Q8_14	Q8_1	Q8_2	Q8_3	Q8_4	Q8_5	Q8_6	Q8_13	Q8_14	Q11_NEW	DOV_Q385_EconomicStrength	DOV_Q385_MilitaryStrength	Q385	Q21	DOV_Q40_1	DOV_Q40_3	DOV_Q40_6	DOV_Q40_8	Q40_1	Q40_3	Q40_6	Q40_8	Q15	Q15B	DOV_Q45_3	DOV_Q45_4	DOV_Q45_6	DOV_Q45_11	DOV_Q45_12	DOV_Q45_14	DOV_Q45_15	DOV_Q45_19	DOV_Q45_20	DOV_Q45_26	DOV_Q45_27	DOV_Q45_28	Q45_3	Q45_4	Q45_6	Q45_11	Q45_12	Q45_14	Q45_15	Q45_19	Q45_20	Q45_26	Q45_27	Q45_28	DOV_Q185	DOV_Q185_1	DOV_Q185_4	DOV_Q185_5	DOV_Q185_8	DOV_Q185_9	DOV_Q185_10	DOV_Q185_11	DOV_Q185_12	Q185_1	Q185_4	Q185_5	Q185_8	Q185_9	Q185_10	Q185_11	Q185_12	DOV_Q200615	Q200	Q615	DOV_Q50_1	DOV_Q50_2	DOV_Q50_5	DOV_Q50_6	DOV_Q50_7	DOV_Q50_8	DOV_Q50_9	Q50_1	Q50_2	Q50_5	Q50_6	Q50_7	Q50_8	Q50_9	DOV_Q140_1	DOV_Q140_2	DOV_Q140_7	Q140_1	Q140_2	Q140_7	Q10	DOV_Q71AQ376	Q71a	DOV_Q190_1	DOV_Q190_2	DOV_Q190_3	DOV_Q190_4	DOV_Q190_6	DOV_Q190_7	Q190_1	Q190_2	Q190_3	Q190_4	Q190_6	Q190_7	Q275	DOV_Q281_1	DOV_Q281_2	Q281_1	Q281_2	DOV_282280	Q282	Q266	DOV_Q278b_1	DOV_Q278b_2	DOV_Q278b_3	DOV_Q278b_4	DOV_Q278b_5	DOV_Q278b_6	DOV_Q278b_7	Q278b_1	Q278b_2	Q278b_3	Q278b_4	Q278b_5	Q278b_6	Q278b_7	Q280	Q325A_NEW	Q230	DOV_Q267AQ374	Q267a_1	Q267a_7	Q267a_3	Q267a_4	Q267a_8	Q267a_5b	Q267a_5	DOV_RUSMEX	DOV_Q251B_1	DOV_Q251B_2	DOV_Q251B_3	DOV_Q251B_4	Q251B_1	Q251B_2	Q251B_3	Q251B_4	DOV_Q251A_1	DOV_Q251A_2	DOV_Q251A_3	Q251A_1	Q251A_2	Q251A_3	DOV_Q350B_1	DOV_Q350B_2	Q350B	DOV_Q351B_1	DOV_Q351B_2	Q351B	Q295A	Q295B	Q376	Q336	Q337	DOV_Q350A_1	DOV_Q350A_2	Q350A	DOV_Q351A_1	DOV_Q351A_2	Q351A	Q374_5	Q374_1	Q374_6	Q374_7	Q374_8	Q374_9	Q390	DOV_Q401_1	DOV_Q401_2	DOV_Q401_3	DOV_Q401_4	DOV_Q401_5	Q401_1	Q401_2	Q401_3	Q401_4	Q401_5	Q405A	Q405B	DOV_Q410AB	Q410A	Q410B	DOV_Q1000_1	DOV_Q1000_2	DOV_Q1000_3	DOV_Q1000_4	Q1000	Q1000_OtherText	Q1000B	DOV_Q1001_1	DOV_Q1001_2	DOV_Q1001_3	DOV_Q1001_4	DOV_Q1001_5	DOV_Q1001_6	DOV_Q1001_7	DOV_Q1001_8	Q1001	Q1001_OtherText	Q1005	Q1010	Q1015	Q1020	Q1025	PPP10003	DOV_REL1	Q1065	PPAGE	ppagecat	ppagect4	PPEDUC	PPEDUCAT	PPETHM	PPGENDER	PPHHHEAD	PPHHSIZE	PPHOUSE	PPINCIMP	PPMARIT	PPMSACAT	PPREG4	ppreg9	PPRENT	PPSTATEN	PPT01	PPT1317	PPT18OV	PPT25	PPT612	PPWORK	PPNET
769	6/11/2016	6/11/2016	18	0.8407	1	1	1	53575	2	2	31540	2	1	3	3	4	1	2	0	1	1	1	0	0	1	1	1	1	1	1	1	 	2	1	1	 	 	1	2	2	2	2	2	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	2	 	 	1	2	 	 	1	 	1	2	1	1	1	1	 	5	8	2	3	1	6	4	7	2	1	2	2	1	2	2	2	2	1	2	1	1	2	1	3	4	2	1	2	2	1	2	1	1	0	1	0	1	1	0	1	1	0	0	60	50	 	60	 	50	50	 	50	80	 	 	1	2	5	4	7	6	 	1	3	1	1	1	1	1	 	1	1	2	 	1	7	5	4	2	6	1	3	7	5	7	1	5	2	3	3	2	1	1	1	1	1	2	 	1	3	6	5	2	4	1	1	1	2	1	1	1	2	1	3	3	2	 	3	6	4	2	1	7	3	5	2	2	2	2	2	2	2	2	2	3	2	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	2	3	1	1	1	1	1	2	1	2	1	1	 	3	1	3	2	 	 	 	 	 	 	2	1	1	2	2	2	1	5	1	4	2	3	2	2	2	2	2	1	 	1	2	 	2	1	3	4	3	 	1	6	2	7	5	1	3	4	8	3	 	2	2	 	2	 	1	1	2	26	2	1	12	4	1	2	1	1	3	4	5	1	2	3	2	35	0	0	1	0	0	1	1
771	6/11/2016	6/11/2016	493	0.6325	1	1	1	86442	2	2	29420	1	2	2	3	4	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	2	2	 	2	1	 	2	3	3	3	2	 	2	2	2	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	 	3	3	1	 	2	1	 	 	1	2	2	2	2	 	 	5	6	4	8	1	2	7	3	2	2	2	1	2	2	1	2	2	2	1	1	2	4	2	3	1	2	2	2	2	2	1	0	0	1	1	1	1	1	0	0	1	0	1	 	 	60	70	40	40	40	 	 	80	 	40	1	1	6	5	2	3	 	4	7	3	2	3	3	3	 	2	2	2	 	1	2	4	3	1	6	7	5	7	5	7	2	4	3	1	3	2	1	1	1	1	1	2	 	5	6	2	1	4	3	1	1	1	1	1	1	3	1	2	3	4	2	 	4	5	1	6	4	3	7	2	2	2	2	3	3	2	2	2	4	3	2	 	 	 	 	 	 	 	2	3	1	4	2	1	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	3	 	2	1	3	1	2	1	1	2	1	2	1	1	2	2	2	1	4	2	3	5	1	2	3	2	2	3	 	1	2	 	3	2	1	3	4	1	 	 	1	7	2	5	3	6	4	8	1	 	5	2	 	2	 	3	11	1	50	4	3	9	2	1	1	0	5	4	13	1	1	4	8	2	86	0	0	4	0	1	1	1
772	6/11/2016	6/11/2016	15	0.578	1	1	1	60026	2	2	16980	2	1	1	1	4	1	2	1	0	1	1	0	1	1	1	1	1	1	1	0	2	 	1	2	 	1	2	2	2	2	1	1	 	1	2	1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	2	2	 	2	2	 	 	2	1	2	 	 	1	1	 	2	1	4	5	3	7	6	2	8	2	1	2	1	1	1	1	2	2	1	2	1	2	4	2	3	1	1	1	1	2	1	2	0	1	0	1	0	0	1	0	1	1	1	1	 	85	 	70	 	 	60	 	70	90	85	75	2	2	6	4	1	 	3	5	7	3	3	3	3	 	3	3	3	1	2	 	1	6	5	4	2	3	7	7	7	7	6	7	5	7	2	3	1	1	1	1	1	1	2	6	1	2	4	5	3	1	1	1	1	1	1	1	2	1	3	3	2	 	3	2	7	1	5	3	4	6	2	1	3	3	3	3	1	2	2	1	1	1	2	1	1	1	2	2	2	2	1	3	4	1	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	3	1	1	2	1	2	1	2	 	 	 	 	 	 	2	3	5	4	1	2	1	1	2	2	1	2	 	2	 	3	1	2	3	4	1	 	 	7	2	5	6	1	3	4	8	1	 	2	2	 	1	 	1	5	2	83	7	4	12	4	1	2	1	1	1	15	2	1	2	3	1	33	0	0	1	0	0	5	1
773	6/11/2016	6/11/2016	22	0.6155	1	1	1	72761	2	2	22220	2	1	2	3	4	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	2	3	1	 	2	 	 	2	2	1	2	2	1	1	2	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	2	2	 	1	1	 	3	 	 	2	3	2	2	1	 	 	8	1	3	5	7	2	6	4	3	2	2	2	2	2	3	2	2	2	1	1	-1	3	4	2	1	1	1	2	2	2	1	0	1	1	1	0	0	1	0	1	1	0	1	 	60	20	50	 	 	55	 	35	60	 	40	1	6	1	4	5	2	 	3	7	2	2	2	3	3	 	2	2	1	3	 	3	4	1	7	2	6	5	6	7	8	7	7	8	8	2	1	3	1	1	2	1	1	3	2	1	4	6	5	3	1	1	1	2	2	1	3	1	2	4	4	1	2	4	2	7	3	4	6	1	5	2	2	2	3	3	2	2	 	2	1	2	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	2	1	3	1	1	1	2	1	1	2	1	1	2	 	 	2	2	 	 	 	 	 	 	2	1	1	1	1	2	1	5	2	1	4	3	3	3	2	1	3	4	 	1	1	 	1	2	3	4	4	Phil Robertson	2	5	4	6	3	2	1	7	8	6	 	4	4	 	 	 	1	11	2	61	5	4	10	3	1	2	1	5	1	7	1	1	3	7	1	71	0	0	2	2	1	5	1
774	6/11/2016	6/11/2016	29	2.4485	1	2	1	90650	2	2	31080	1	2	2	2	4	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	2	2	2	2	2	 	 	2	2	2	2	 	2	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	2	2	 	 	2	 	2	 	2	2	2	1	2	 	2	 	7	6	3	1	8	2	5	4	3	3	3	3	2	3	3	3	2	1	2	1	1	1	3	4	2	1	1	1	1	3	3	0	1	0	1	0	0	1	1	1	1	1	0	 	70	 	70	 	 	60	50	70	70	60	 	2	1	5	3	6	 	2	4	7	3	3	3	3	 	3	3	3	1	2	 	3	1	4	2	5	7	6	7	4	7	6	7	5	4	3	2	1	1	1	1	1	1	2	4	5	2	6	1	3	1	2	1	2	1	2	2	1	2	2	2	1	1	3	2	3	6	7	5	1	4	2	2	3	3	3	3	2	 	2	3	1	2	1	2	2	1	1	2	1	 	 	 	 	 	 	 	 	2	1	3	2	2	2	1	2	1	1	2	2	3	 	 	3	3	 	 	 	 	 	 	 	 	 	 	 	 	1	5	4	3	1	2	3	2	2	3	2	2	 	1	2	 	2	1	3	4	3	 	1	2	4	6	5	1	3	7	8	3	 	4	2	 	2	 	1	1	1	38	3	2	12	4	4	1	1	3	1	13	1	1	4	9	1	93	0	0	2	0	1	1	0
775	6/11/2016	6/11/2016	18	0.6051	1	1	1	72734	2	2	22220	2	1	2	1	4	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	 	1	 	 	1	2	2	2	1	1	1	2	2	1	1	0	1	0	1	1	0	1	1	1	0	0	1	0	1	1	1	 	1	 	1	2	 	1	1	1	 	 	1	 	2	4	8	7	2	5	1	6	3	2	1	1	2	1	2	2	2	2	2	1	1	1	1	2	4	3	1	1	1	1	2	1	0	1	1	0	0	1	1	0	1	1	0	1	 	-1	50	 	 	0	50	 	70	85	 	40	1	4	6	3	1	2	 	5	7	3	2	1	3	1	 	2	1	2	 	2	4	2	5	1	6	7	3	9	6	7	5	8	5	5	3	2	1	1	1	1	1	1	2	1	4	5	2	6	3	2	2	2	2	2	1	3	2	1	3	2	2	 	3	7	1	6	4	2	5	3	3	3	3	2	2	2	2	2	2	1	2	 	 	 	 	 	 	 	2	2	4	3	1	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	3	2	2	1	1	1	2	2	2	1	1	1	1	2	2	4	5	1	3	2	2	3	3	1	2	 	4	1	1	 	1	2	3	4	2	 	 	4	5	7	1	3	2	6	8	5	 	4	4	 	 	 	1	2	2	58	5	3	9	2	1	1	1	3	1	5	3	1	3	7	1	71	0	0	3	0	0	2	1
776	6/11/2016	6/11/2016	19	1.1803	1	1	1	55901	1	1	40340	1	2	4	4	4	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	2	2	 	2	1	 	 	2	2	2	1	1	1	1	2	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1	2	 	1	2	 	1	 	 	1	2	2	 	1	 	1	3	4	1	8	5	6	7	2	2	2	3	1	2	1	1	1	2	2	1	1	2	2	1	4	3	1	1	2	2	3	1	1	1	0	1	1	1	0	1	0	0	1	0	40	30	 	40	40	30	 	30	 	 	100	 	2	3	1	4	6	 	2	5	7	3	2	2	3	 	3	2	2	2	 	1	3	2	4	7	5	1	6	6	4	6	5	8	3	7	1	3	2	1	1	1	1	1	1	2	6	4	3	5	1	1	1	1	1	2	1	2	1	2	4	4	2	 	4	2	7	3	5	4	6	1	3	3	3	3	2	4	2	3	2	3	2	 	 	 	 	 	 	 	2	1	4	2	3	1	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	3	3	2	1	1	1	2	1	2	1	1	2	2	2	2	5	3	4	1	2	1	1	1	1	1	2	 	2	 	3	2	1	3	4	3	 	-1	6	2	7	5	3	4	1	8	3	 	3	4	 	 	 	1	1	2	26	2	1	11	3	1	2	1	1	3	9	5	1	2	4	3	41	0	0	1	0	0	1	1
777	6/11/2016	6/11/2016	40	0.9711	1	1	1	90275	2	2	31080	2	1	1	1	4	2	2	1	1	1	1	0	1	1	0	0	1	1	1	1	2	2	2	3	 	1	2	 	 	2	2	1	2	2	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	2	 	2	 	 	 	 	1	1	1	2	2	1	1	3	 	2	6	4	8	3	7	1	5	1	3	1	2	1	2	1	3	2	1	2	1	1	3	4	2	1	2	2	2	2	2	2	1	1	1	0	0	1	0	0	1	1	0	1	85	40	40	 	 	70	 	 	15	100	 	70	1	1	7	6	3	4	 	2	5	3	1	3	2	3	 	3	3	1	2	 	4	2	6	1	3	5	7	10	6	7	8	9	4	7	2	3	1	1	1	1	1	1	3	5	3	2	6	1	4	1	2	1	2	2	1	1	1	2	2	2	1	2	2	1	7	5	4	2	6	3	3	2	2	3	3	2	2	 	2	3	2	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	2	3	1	1	1	1	2	1	1	2	1	1	 	3	 	1	1	 	 	 	 	 	 	2	1	1	1	1	2	2	3	2	4	1	5	1	1	1	1	1	 	1	1	2	 	2	1	3	4	1	 	 	1	7	2	5	6	3	4	8	3	 	2	3	 	 	2	1	1	2	38	3	2	12	4	1	1	1	5	1	18	1	1	4	9	1	93	0	0	2	2	1	1	1
778	6/11/2016	6/11/2016	20	1.6257	1	1	1	54220	3	5	0	2	1	2	2	4	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	2	1	1	2	 	 	1	2	2	 	2	2	1	2	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	 	1	 	 	2	 	1	2	2	 	1	1	1	 	3	4	8	6	5	2	7	1	2	2	3	2	2	2	3	2	2	2	1	1	1	1	3	2	4	2	2	2	2	1	2	1	0	0	1	1	0	1	0	1	0	1	1	60	 	 	30	55	 	0	 	40	 	50	35	1	2	5	3	6	7	 	1	4	3	3	3	3	3	 	3	3	1	2	 	2	3	1	6	5	7	4	10	4	2	4	5	3	3	1	3	2	1	1	2	1	1	2	5	1	6	2	4	3	2	1	2	2	2	2	2	1	2	3	3	2	 	4	3	7	2	1	6	4	5	3	3	3	3	3	3	3	3	3	3	2	 	 	 	 	 	 	 	2	2	1	4	3	1	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	1	2	2	1	1	2	1	1	2	2	2	2	2	2	3	1	4	2	3	5	3	3	3	1	3	 	2	1	1	 	1	2	3	4	3	 	-1	1	6	4	7	5	3	2	8	3	 	3	4	 	 	 	3	2	1	18	1	1	8	1	1	1	0	3	1	14	5	0	2	3	1	35	0	1	2	0	0	1	1
779	6/11/2016	6/11/2016	13	1.3068	1	3	1	34744	2	2	36740	2	1	2	2	4	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	2	 	1	1	 	 	1	1	1	1	2	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	 	 	 	1	1	1	1	 	 	 	1	3	1	5	6	4	8	2	7	1	1	1	1	1	1	1	1	1	2	1	2	2	2	3	1	4	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	 	 	 	-1	 	-1	0	50	100	 	-1	-1	1	6	1	5	3	2	 	4	7	2	3	2	2	3	 	2	2	1	1	 	3	2	1	4	5	6	7	10	0	-1	-1	-1	-1	-1	3	2	1	1	1	1	2	2	 	1	5	4	6	2	3	2	2	2	2	2	2	3	1	2	2	3	2	 	2	3	5	7	4	1	2	6	1	2	1	2	2	1	2	2	2	3	1	2	2	2	2	2	2	2	2	1	2	4	3	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	2	1	1	2	1	1	1	2	1	 	 	 	 	 	 	2	3	1	4	5	2	1	2	2	3	1	2	 	2	 	2	1	2	3	4	1	 	 	7	3	2	1	4	6	5	8	1	 	2	2	 	1	 	1	12	2	46	4	3	9	2	4	2	0	2	1	8	3	1	3	5	2	59	0	0	2	0	0	6	1
780	6/11/2016	6/11/2016	16	0.5826	1	1	1	92118	2	2	41740	1	2	1	1	4	1	2	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	2	 	 	1	1	 	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	 	1	2	 	 	1	1	 	 	1	1	1	1	 	8	4	3	5	2	7	1	6	1	1	1	2	1	1	1	3	2	2	1	1	1	1	4	2	3	1	1	1	1	2	2	1	1	0	1	1	0	1	1	0	0	1	0	60	40	 	70	30	 	60	0	 	 	85	 	1	4	5	2	3	6	 	1	7	3	3	3	2	3	 	2	3	1	1	 	3	7	1	6	2	4	5	9	9	9	8	8	6	6	2	1	3	1	1	1	1	1	3	5	4	2	6	3	1	1	1	1	2	2	1	3	1	2	1	2	1	1	2	4	2	5	1	6	7	3	2	2	2	4	3	3	1	 	4	3	2	 	 	 	 	 	 	 	2	2	3	4	1	2	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	3	3	1	2	1	2	1	2	2	1	1	2	2	2	1	2	5	4	3	1	2	2	2	2	2	2	 	1	2	 	2	1	3	4	1	 	 	3	2	6	5	1	7	4	8	3	 	4	2	 	2	 	1	10	1	71	6	4	13	4	1	2	1	2	1	18	1	1	4	9	1	93	0	0	2	0	0	5	1
781	6/11/2016	6/11/2016	36	0.5117	1	1	1	75803	3	5	0	1	2	1	1	4	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	2	3	3	3	1	 	 	3	2	3	2	2	 	1	2	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1	 	2	 	2	 	1	 	2	2	3	 	1	1	 	1	6	3	4	1	8	5	2	7	3	4	4	3	3	3	3	4	2	2	1	1	2	3	1	2	4	2	2	2	2	2	1	0	1	1	1	0	1	1	0	1	0	1	0	 	10	60	60	 	60	60	 	60	 	60	 	1	4	3	6	5	1	 	2	7	2	2	3	2	3	 	3	2	2	 	2	6	7	3	1	5	4	2	10	8	7	6	8	6	5	2	1	3	1	1	1	2	1	4	5	4	2	6	3	1	2	2	2	2	2	1	3	1	2	4	4	1	2	5	2	5	3	1	7	6	4	4	4	3	4	4	3	3	 	4	2	1	1	1	2	2	2	2	2	1	 	 	 	 	 	 	 	 	1	3	2	2	2	2	2	1	1	1	2	1	3	 	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	5	4	2	1	3	2	2	2	2	2	2	 	2	 	3	2	1	3	4	4	Jill Stein	-1	7	6	2	1	4	5	3	8	8	None	5	4	 	 	 	1	13	1	71	6	4	12	4	1	1	1	2	1	8	1	0	3	7	1	74	0	0	2	0	0	5	1
782	6/11/2016	6/11/2016	13	0.706	1	1	1	6825	2	2	14860	2	1	4	4	4	1	2	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	 	2	 	2	1	 	1	1	1	1	2	2	2	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	2	 	2	 	 	2	 	2	2	2	2	2	2	 	 	2	1	4	2	8	6	3	5	7	2	3	3	2	3	2	2	2	1	2	1	2	1	4	3	1	2	1	1	1	1	3	3	1	1	0	1	1	0	0	0	1	1	0	1	75	75	 	75	60	 	 	 	75	75	 	75	1	3	2	6	5	1	 	4	7	2	2	3	2	1	 	2	3	2	 	1	6	7	4	5	1	2	3	9	4	8	3	5	5	0	2	3	1	1	1	1	2	1	2	2	3	4	6	5	1	1	1	2	1	2	2	2	1	2	2	1	1	2	1	4	5	2	1	6	7	3	2	2	2	2	2	2	2	 	3	3	2	 	 	 	 	 	 	 	2	1	2	3	4	1	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	2	2	1	2	1	1	2	2	2	1	1	1	1	2	2	3	5	4	2	1	2	2	2	2	2	 	1	2	 	4	2	1	3	4	3	 	1	5	4	7	6	1	3	2	8	3	 	4	2	 	1	 	1	13	2	47	4	3	10	3	1	1	1	3	3	11	3	1	1	1	2	16	0	0	3	0	0	6	1
783	6/11/2016	6/11/2016	23	1.6261	1	1	1	48059	2	3	19820	2	1	4	4	4	2	2	0	1	1	1	0	1	1	0	1	1	1	1	1	 	3	1	2	 	1	1	 	2	2	2	1	2	2	2	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	 	 	 	1	 	2	 	1	1	1	2	1	1	2	 	1	8	2	4	6	7	5	1	3	2	2	2	2	2	2	2	2	2	1	2	1	1	1	4	2	3	1	1	1	1	3	1	0	1	1	0	1	1	0	0	1	0	1	1	 	50	85	 	85	50	 	 	50	 	100	85	2	5	3	2	1	 	7	6	4	3	3	3	3	 	3	3	3	2	 	1	3	6	7	5	4	2	1	10	5	5	5	10	5	5	1	3	2	1	1	1	1	2	 	6	5	1	3	4	2	2	2	2	2	2	2	1	1	2	3	3	1	1	2	4	3	2	5	1	6	7	2	2	2	2	2	2	2	 	2	3	2	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	3	2	1	1	1	1	2	1	1	2	1	 	2	1	3	3	 	 	 	 	 	 	2	1	1	2	2	2	1	3	2	4	1	5	2	2	2	2	2	 	2	2	 	1	1	2	3	4	1	 	 	7	1	4	6	3	2	5	8	8	 	4	4	 	 	 	3	13	2	31	2	2	11	3	1	2	1	1	3	12	5	1	2	3	2	34	0	0	1	0	0	1	0
784	6/11/2016	6/11/2016	34	1.0556	1	1	1	92311	2	2	40140	1	2	2	2	4	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	 	1	1	1	1	 	1	1	1	1	 	1	1	2	2	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	 	1	1	 	 	1	 	1	1	1	1	1	1	 	 	6	5	3	7	2	1	8	4	2	2	2	2	2	2	2	2	1	2	1	1	1	4	3	2	1	1	1	1	1	3	3	0	1	1	1	1	0	0	0	1	1	0	1	 	-1	-1	-1	-1	 	 	 	-1	-1	 	-1	2	7	6	2	5	 	3	4	1	3	3	2	3	 	3	2	3	1	2	 	1	5	4	3	6	2	7	-1	-1	-1	-1	-1	-1	-1	2	1	3	1	1	1	2	1	-1	1	5	3	6	2	4	2	2	2	2	2	2	1	2	1	3	3	2	 	3	7	1	2	6	4	3	5	-1	-1	-1	-1	-1	-1	-1	2	-1	3	1	2	2	2	1	1	1	1	2	3	1	2	4	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	1	3	1	2	2	2	1	2	 	 	 	 	 	 	3	1	3	4	5	2	-1	-1	-1	-1	-1	 	3	1	1	 	1	2	3	4	2	 	 	6	3	1	4	7	2	5	8	2	 	5	1	1	 	 	1	2	2	55	5	3	13	4	1	1	1	1	1	19	4	1	4	9	1	93	0	0	1	0	0	1	0
785	6/11/2016	6/11/2016	14	1.0847	1	1	1	77584	2	3	26420	1	2	2	2	4	1	2	1	0	1	1	0	1	1	0	1	1	1	1	1	2	 	2	2	 	2	1	 	1	2	2	1	2	1	2	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	2	 	2	2	2	 	 	 	2	2	2	2	 	2	 	2	1	8	4	5	7	2	6	3	2	2	2	2	2	2	2	3	2	1	2	1	1	1	3	2	4	1	1	1	2	3	3	0	0	1	1	1	1	0	1	0	0	1	1	 	 	55	85	45	45	 	45	 	 	90	80	2	7	1	2	3	 	6	4	5	3	2	3	2	 	3	3	3	1	2	 	1	2	7	4	6	5	3	7	6	6	5	6	5	4	2	1	3	1	1	2	1	2	 	5	3	2	6	1	4	1	1	1	2	2	1	3	1	2	3	3	2	 	2	3	7	6	2	5	4	1	2	2	2	3	2	2	2	2	3	3	2	 	 	 	 	 	 	 	2	3	2	1	4	2	1	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	3	1	2	1	2	1	2	2	1	1	1	2	2	1	2	5	4	3	1	2	2	2	2	2	3	 	2	 	4	1	2	3	4	3	 	1	5	6	4	1	3	7	2	8	6	 	4	3	 	 	1	1	1	2	44	3	2	10	3	1	2	1	3	1	17	1	1	3	7	1	74	0	0	2	0	1	1	1
786	6/11/2016	6/11/2016	26	0.4971	1	1	1	45698	3	5	0	1	2	2	2	4	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	 	2	1	2	3	 	1	2	2	2	 	2	1	2	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	 	1	1	1	 	 	1	 	1	1	1	1	1	1	 	 	1	7	4	3	2	8	5	6	2	1	3	2	1	1	1	2	2	1	2	2	1	3	2	4	1	1	1	1	1	2	1	0	1	0	1	1	0	1	0	0	1	1	1	 	100	 	90	70	 	50	 	 	100	100	95	1	6	3	4	5	1	 	2	7	1	1	3	1	3	 	1	3	1	1	 	1	6	5	7	3	2	4	10	10	9	8	10	2	6	1	2	3	1	1	1	1	1	1	6	1	2	4	5	3	1	2	1	2	2	1	2	2	1	4	4	2	 	2	5	2	3	4	1	7	6	2	2	2	3	2	3	1	1	2	3	1	2	2	1	1	1	1	1	2	3	1	4	2	-1	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	1	1	1	2	1	1	2	2	 	 	 	 	 	 	2	5	1	2	4	3	1	2	1	1	1	 	3	2	 	3	1	2	3	4	2	 	 	2	1	7	4	6	3	5	8	2	 	4	2	 	2	 	2	13	2	53	4	3	9	2	1	1	1	1	1	4	5	0	2	3	1	31	0	0	1	0	0	1	1
